bone_name,constraint_name,mute,target,subtarget_bone_name,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
Shanks.R.005,Rig Ctrl,False,Loris.Armature,Foot_P.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Shanks.R.006,Rig Ctrl,False,Loris.Armature,Heel_T.R.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.0,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Foot.R,Rig Ctrl,False,Loris.Armature,Heel_T.R.001,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
2ndToe.R.003,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
2ndToe.R.002,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.R.001,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
2ndToe.R,Transformation,False,Loris.Armature,2ndToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.001,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.002,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
3rdToe.R.003,Transformation,False,Loris.Armature,3rdToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
4thToe.R,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.001,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.002,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
4thToe.R.003,Transformation,False,Loris.Armature,4thToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
LittleToe.R,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.001,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.002,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,-2.094395160675049,2.094395160675049,LOCAL,LOCAL
LittleToe.R.003,Transformation,False,Loris.Armature,LittleToe_T.R,-0.009999999776482582,0.009999999776482582,0.0,0.0,-0.009999999776482582,0.009999999776482582,Z,Y,X,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
BigToe.R,Rig Ctrl,False,Loris.Armature,Toe_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
BigToe.R.001,Rig Ctrl,False,Loris.Armature,BigToe_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
BigToe.R.002,Rig Ctrl,False,Loris.Armature,BigToe_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Pelvis,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.44999998807907104,1.0,0.4000000059604645,1.0,0.44999998807907104,LOCAL,LOCAL
Pelvis,Rig Ctrl,False,Loris.Armature,Pelvis_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Pelvis,Rig Ctrl.001,False,Loris.Armature,Pelvis_T.001,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,Y,X,Y,ROTATION,0.0,0.0,0.0,-0.7853981852531433,0.0,0.0,LOCAL,LOCAL
ThighHead.L,Rig Ctrl,False,Loris.Armature,ThighHead_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Thigh.L,Rig Ctrl,False,Loris.Armature,Thigh_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Thigh.L.001,Rig Ctrl,False,Loris.Armature,Thigh_Size_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,2.0,1.0,0.5,LOCAL,LOCAL
Thigh.L.002,Rig Ctrl,False,Loris.Armature,Thigh_Size_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,LOCAL,LOCAL
Knee.L.001,Rig Ctrl,False,Loris.Armature,Knee_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Shanks.L.001,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.6000000238418579,1.0,0.6000000238418579,1.0,0.6000000238418579,LOCAL,LOCAL
ThighHead.R,Rig Ctrl,False,Loris.Armature,ThighHead_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Thigh.R,Rig Ctrl,False,Loris.Armature,Thigh_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Thigh.R.001,Rig Ctrl,False,Loris.Armature,Thigh_Size_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,2.0,1.0,0.5,LOCAL,LOCAL
Thigh.R.002,Rig Ctrl,False,Loris.Armature,Thigh_Size_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,LOCAL,LOCAL
Knee.R.001,Rig Ctrl,False,Loris.Armature,Knee_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Shanks.R.001,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.6000000238418579,1.0,0.6000000238418579,1.0,0.6000000238418579,LOCAL,LOCAL
Waist,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.4000000059604645,1.0,0.5,1.0,0.4000000059604645,LOCAL,LOCAL
Waist,Rig Ctrl,False,Loris.Armature,Waist_P,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,Y,X,Y,ROTATION,0.0,0.0,0.0,0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Waist.001,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,1.2999999523162842,1.0,1.0,1.0,1.2999999523162842,LOCAL,LOCAL
Spine.Root,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.800000011920929,1.0,1.0,1.0,0.800000011920929,LOCAL,LOCAL
Spine.Root,Rig Ctrl,False,Loris.Armature,Rib_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Spine.Root.001,Rig Ctrl,False,Loris.Armature,Rib_Size_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,0.5,1.0,0.5,LOCAL,LOCAL
Spine.Root.001,Rig Ctrl.001,False,Loris.Armature,Rib_Size_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,LOCAL,LOCAL
Neck,Rig Ctrl,False,Loris.Armature,Neck_Size_T,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,2.0,1.0,0.5,LOCAL,LOCAL
Neck,Rig Ctrl.001,False,Loris.Armature,Neck_P,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,Y,X,Y,ROTATION,0.0,0.0,0.0,0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Neck.002,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.550000011920929,1.0,0.550000011920929,1.0,0.550000011920929,LOCAL,LOCAL
Neck.002,Rig Ctrl,False,Loris.Armature,Neck_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Neck.002,Rig Ctrl.001,False,Loris.Armature,Neck_P,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,Y,X,Y,ROTATION,0.0,0.0,0.0,0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Head,Rig Ctrl,False,Loris.Armature,Head_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,-0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
Head,Rig Ctrl.001,False,Loris.Armature,Head_Size_T,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.8999999761581421,1.0,0.8999999761581421,1.0,0.8999999761581421,LOCAL,LOCAL
Head.001,Rig Ctrl,False,Loris.Armature,Head_Size_T,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,LOCAL,LOCAL
Head.001,Rig Ctrl.001,False,Loris.Armature,Head_Size_T,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.8999999761581421,1.0,0.8999999761581421,1.0,0.8999999761581421,LOCAL,LOCAL
Shoulder.R,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.699999988079071,1.0,0.699999988079071,1.0,0.699999988079071,LOCAL,LOCAL
Shoulder.R,Rig Ctrl,False,Loris.Armature,Shoulder_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
UpperArm.R,Rig Ctrl,False,Loris.Armature,Elbo_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
UpperArm.R.003,Rig Ctrl,False,Loris.Armature,Arm_Size_T.R,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,1.0,1.0,0.5,LOCAL,LOCAL
UpperArm.R.003,Rig Ctrl.001,False,Loris.Armature,Arm_Size_T.R,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,LOCAL,LOCAL
Shoulder.L,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.699999988079071,1.0,0.699999988079071,1.0,0.699999988079071,LOCAL,LOCAL
Shoulder.L,Rig Ctrl,False,Loris.Armature,Shoulder_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
UpperArm.L,Rig Ctrl,False,Loris.Armature,Elbo_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
UpperArm.L.003,Rig Ctrl,False,Loris.Armature,Arm_Size_T.L,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,SCALE,1.0,0.5,1.0,1.0,1.0,0.5,LOCAL,LOCAL
UpperArm.L.003,Rig Ctrl.001,False,Loris.Armature,Arm_Size_T.L,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,LOCATION,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,LOCAL,LOCAL
Forearm.R.001,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.10000000149011612,1.0,0.10000000149011612,1.0,0.10000000149011612,LOCAL,POSE
Forearm.R.001,Rig Ctrl,False,Loris.Armature,Hand_P.R,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,ROTATION,0.0,0.0,0.0,-0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Forearm.L.001,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.10000000149011612,1.0,0.10000000149011612,1.0,0.10000000149011612,LOCAL,LOCAL
Forearm.L.001,Rig Ctrl,False,Loris.Armature,Hand_P.L,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,ROTATION,0.0,0.0,0.0,0.7853981852531433,0.0,0.0,LOCAL,LOCAL
